Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Life Skills Center of Dayton,000813,Life Skills Center of Dayton,000813,"1721 N Main St Dayton, OH   45405-4143",9-12,-84.2055053,39.7787101
,Horizon Science Academy-Springfield,000825,Horizon Science Academy-Springfield,000825,"630 S Reynolds Rd Toledo, OH   43615-6314",5-8,-83.6656673,41.6285766
,Cleveland Municipal,043786,Anton Grdina,000828,"3050 E 77th St Cleveland, OH   44104-4139","P,K-8",-81.6356269,41.4756215
,Zanesville City,045179,National Road,000831,"3505 East Pike Zanesville, OH   43701-6617",K-5,-81.9370285,39.9558628
,Antwerp Local,048991,Antwerp Local Elementary School,000836,"303 S. Harrmann Rd Antwerp, OH   45813",K-5,-84.729434,41.1782454
,Horizon Science Academy-Denison Middle School,000838,Horizon Science Academy-Denison Middle School,000838,"1700 Denison Ave Cleveland, OH   44109-2925",K-12,-81.6930514,41.4517268
,Lorain City,044263,General Johnnie Wilson Middle School,000840,"2700 Washington Ave Lorain, OH   44052-4648",6-8,-82.1807137,41.4462476
,Lorain City,044263,Longfellow Middle School,000841,"305 Louisiana Ave Lorain, OH   44052-2256",6-8,-82.15479979999999,41.4740906
,Bennett Venture Academy,000843,Bennett Venture Academy,000843,"5130 Bennett Road Toledo, OH   43612",K-8,-83.55523389999999,41.7096209
,Antwerp Local,048991,Antwerp Local High School,000844,"303 S. Harrmann Rd Antwerp, OH   45813",7-12,-84.729434,41.1782454
,Southeast Local,050583,Apple Creek Elementary School,000851,"173 W Main St Apple Creek, OH   44606-9532","K-6,P",-81.83840289999999,40.750835
,Stambaugh Charter Academy,000855,Stambaugh Charter Academy,000855,"2420 Donald Ave Youngstown, OH   44509-1306",K-6,-80.6967008,41.116023
,Horizon Science Academy-Cleveland Middle School,000858,Horizon Science Academy-Cleveland Middle School,000858,"6100 S Marginal Rd Cleveland, OH   44103-1043",K-8,-81.64772909999999,41.530454
,Canton City,043711,Canton Arts Academy @ Summit,000859,"1100 10th St NW Canton, OH   44703-3311",K-8,-81.3830115,40.8073672
,Grand Valley Local,045864,Grand Valley Elementary School,000870,"111 Grand Valley Ave West Orwell, OH   44076-9420",K-4,-80.87219759999999,41.5450045
,Westside Academy,000875,Westside Academy,000875,"4330 Clime Rd North Columbus, OH   43228-3439",K-8,-83.112315,39.93565299999999
,Brunswick City,043661,Applewood Elementary School,000877,"3891 Applewood Dr Brunswick, OH   44212-4049",K-5,-81.8267911,41.2246688
,Reynoldsburg City,047001,Slate Ridge Elementary School,000878,"10466 Taylor Rd SW Reynoldsburg, OH   43068-3249",K-4,-82.77626029999999,39.9422082
,Reynoldsburg City,047001,Waggoner Road Middle School,000879,"340 Waggoner Rd Reynoldsburg, OH   43068-9707",5-6,-82.7865338,39.97733059999999
,Jonathan Alder Local,048264,Canaan Middle School,000883,"7055 US Highway 42 S Plain, OH   43064-8853",5-6,-83.296239,40.044664
,Dayton City,043844,Charity Adams Earley Academy for Girls,000884,"450 Shoup Mill Rd Dayton, OH   45415-3518",K-4,-84.2215976,39.8116336
,Arcadia Local,047415,Arcadia Elementary School,000885,"19033 State Route 12 Arcadia, OH   44804-9714",K-6,-83.5154853,41.1062851
,Olentangy Local,046763,Glen Oak Elementary School,000892,"7300 Blue Holly Dr Lewis Center, OH   43035-7145","K-5,P",-83.00541869999999,40.1795354
,Arcadia Local,047415,Arcadia High School,000893,"19033 State Route 12 Arcadia, OH   44804-9714",9-12,-83.5154853,41.1062851
,Arcanum-Butler Local,046631,Arcanum Elementary School,000901,"310 N Main St Arcanum, OH   45304-1226",K-5,-84.5545684,39.9951357
,Cardington-Lincoln Local,048793,Cardington Intermediate School,000902,"3700 County Road 168 Cardington, OH   43315-9397",4-6,-82.87956,40.492894
,Interactive Media & Construction (IMAC),000905,Interactive Media & Construction (IMAC),000905,"445 Bowman St Mansfield, OH   44903-1201",9-12,-82.5235598,40.7702859
,V L T Academy,000909,V L T Academy,000909,"1100 Sycamore St Cincinnati, OH   45202-1321",K-12,-84.5092331,39.1081522
,Academic Acceleration Academy,000912,Academic Acceleration Academy,000912,"1990 Jefferson Ave Columbus, OH   43211-2175",10-12,-82.98261629999999,40.0065364
,NIA University Community School,000915,NIA University Community School,000915,"3556 Reading Rd Cincinnati, OH   45229-2624",K-12,-84.48853989999999,39.1465407
,Arcanum-Butler Local,046631,Arcanum High School,000919,"310 N Main St Arcanum, OH   45304-1338",9-12,-84.5545684,39.9951357
,Nu Bethel Center of Excellence,000922,Nu Bethel Center of Excellence,000922,"3560 W Siebenthaler Ave Dayton, OH   45406-1534",K-8,-84.2474299,39.7969922
,Archbold-Area Local,047043,Archbold Elementary School,000927,"500 Lafayette St Archbold, OH   43502-1669",K-4,-84.3100845,41.5162366
,Cleveland Entrepreneurship Preparatory School,000930,Cleveland Entrepreneurship Preparatory School,000930,"1417 E 36th St Fl 2 Cleveland, OH   44114-4116",6-8,-81.6665337,41.5136256
,Archbold-Area Local,047043,Archbold High School,000935,"600 Lafayette St Archbold, OH   43502-1656",9-12,-84.3130307,41.5157815
,Promise Academy,000936,Promise Academy,000936,"1701 E 13th St Cleveland, OH   44114-3227",9-12,-81.6843548,41.5039501
,Premier Academy of Ohio,000938,Premier Academy of Ohio,000938,"1555 Elaine Rd Columbus, OH   43227-2347",7-12,-82.8872578,39.9422527
,Newark City,044453,Par Excellence Academy,000941,"96 Maholm St Newark, OH   43055-3906",K-6,-82.4237698,40.05146010000001
,Lakewood City Academy,000942,Lakewood City Academy,000942,"1470 Warren Rd Lakewood, OH   44107-3918",K-12,-81.799915,41.482847
,Cleveland Lighthouse Community School,000946,Cleveland Lighthouse Community School,000946,"1701 E 12th St Cleveland, OH   44114-3236",K-12,-81.6852692,41.5030337
,Villaview Lighthouse Community School,000949,Villaview Lighthouse Community School,000949,"1701 E 12th St Cleveland, OH   44114-3236",K-12,-81.6852692,41.5030337
,Toledo Preparatory and Fitness Academy,000951,Toledo Preparatory and Fitness Academy,000951,"20 Arco Dr Toledo, OH   43607-2901",K-8,-83.62294539999999,41.63770419999999
,Columbus Preparatory and Fitness Academy,000952,Columbus Preparatory and Fitness Academy,000952,"1258 Demorest Rd Columbus, OH   43204-7003",K-8,-83.0892325,39.9291937
,Cincinnati Preparatory and Fitness Academy,000953,Cincinnati Preparatory and Fitness Academy,000953,"7601 Harrison Ave Cincinnati, OH   45231-3107","K,1-8,SN",-84.6915436,39.2170189
,Toledo City,044909,Arlington Elementary School,000968,"707 Woodsdale Ave Toledo, OH   43609-2963",K-6,-83.5866017,41.6261844
,Arlington Local,047423,Arlington Local Elementary School,000976,"PO Box 260 Arlington, OH   45814-0260",K-6,-83.65020919999999,40.8936647
,Arlington Local,047423,Arlington Local High School,000992,"PO Box 260 Arlington, OH   45814-0260",7-12,-83.65020919999999,40.8936647
,Columbus City,043802,Arlington Park Elementary School,001008,"2400 Mock Rd Columbus, OH   43219-5300","K-5,P",-82.9448622,40.0118231
,Copley-Fairlawn City,049981,Arrowhead Primary Elementary School,001024,"1600 Raleigh Blvd Copley, OH   44321-2024",K-4,-81.63747839999999,41.0906964
,Xenia Community City,045153,Arrowood Elementary School,001032,"1694 Pawnee Dr Xenia, OH   45385-4126",K-5,-83.9592982,39.6750959
,Cleveland Municipal,043786,Artemus Ward @ Halle,001040,"4315 W 140th St Cleveland, OH   44135-2128","P,K-8",-81.7901861,41.4363846
,Solon City,046607,Arthur Road Elementary School,001057,"33425 Arthur Rd Solon, OH   44139-4519","K-4,P",-81.4414657,41.3716782
,Groveport Madison Local,046979,Asbury Elementary School,001073,"5127 Harbor Blvd Columbus, OH   43232-6263",K-5,-82.8651881,39.9017109
,Ashland City,043505,Ashland High School,001081,"1440 King Rd Ashland, OH   44805-3635",9-12,-82.3253498,40.8545356
,Ashland City,043505,Ashland Middle School,001099,"345 Cottage St Ashland, OH   44805-2123",7-8,-82.317633,40.8705967
,Buckeye Valley Local,046755,Buckeye Valley East Elementary School,001107,"PO Box 356 Ashley, OH   43003-0356","K-5,P",-82.955461,40.4089499
,Ashtabula Area City,043513,Lakeside High School,001123,"6600 Sanborn Rd Ashtabula, OH   44004-9552",9-12,-80.819581,41.84372399999999
,Teays Valley Local,049098,Ashville Elementary School,001131,"90 Walnut St Ashville, OH   43103-1538",K-5,-82.9480954,39.7155349
,Athens City,043521,Athens High School,001149,"1 High School Rd The Plains, OH   45780-1148",9-12,-82.12801,39.3724832
,Fremont City,044016,Atkinson Elementary School,001172,"1100 Delaware Ave Fremont, OH   43420-4605",K-6,-83.1001732,41.3367052
,Seneca East Local,049684,Seneca East Elementary,001180,"PO Box 462 Attica, OH   44807-0462",K-6,-82.887686,41.0647777
,Seneca East Local,049684,Seneca East High School,001198,"PO Box 462 Attica, OH   44807-0462",9-12,-82.887686,41.0647777
,Waterloo Local,049247,Waterloo Elementary School,001206,"1464 Industry Rd Atwater, OH   44201-9349",K-5,-81.19373900000001,41.0296702
,Shelby City,044776,Auburn Elementary School,001222,"109 Auburn Ave Shelby, OH   44875-1103",K-4,-82.6734484,40.8838529
,Kenston Local,047191,Timmons Elementary School,001230,"9595 E Washington St Chagrin Falls, OH   44023-2762",1-3,-81.301112,41.39443199999999
,Cleveland Municipal,043786,Audubon,001248,"3055 Martin Luther King Jr Dr Cleveland, OH   44104-5069",K-8,-81.6091601,41.4754709
,Paulding Exempted Village,045575,Oakwood Elementary School,001255,"PO Box 37 Oakwood, OH   45873-0037",K-6,-84.3805036,41.095605
,Carrollton Exempted Village,045278,Augusta Elementary School,001271,"3117 Aurora Rd NE Carrollton, OH   44615-9739",K-6,-81.0238347,40.687435
,Aurora City,049171,Aurora High School,001297,"109 W Pioneer Trl Aurora, OH   44202-9103",9-12,-81.35084429999999,41.3101271
,Geneva Area City,044057,Austinburg Elementary School,001321,"3030 State Route 307 Austinburg, OH   44010-9703","K-6,P",-80.8613893,41.77061339999999
,Austintown Local,048298,Austintown Middle School,001339,"800 S Raccoon Rd Youngstown, OH   44515-3537",6-8,-80.73363100000002,41.09188899999999
,Hilliard City,047019,Avery Elementary School,001347,"4388 Avery Rd Hilliard, OH   43026-1007",K-5,-83.1551009,40.0418337
,Avon Local,048116,Avon High School,001370,"37545 Detroit Rd Avon, OH   44011-2133",9-12,-82.037819,41.44450630000001
,Avon Lake City,048124,Avon Lake High School,001388,"175 Avon Belden Rd Avon Lake, OH   44012-1600",9-12,-82.01636309999999,41.5082777
,Columbus City,043802,Avondale Elementary School,001396,"141 Hawkes Ave Columbus, OH   43222-1461",K-5,-83.0255549,39.9562113
,Plain Local,049932,Avondale Elementary School,001404,"3933 Eaton Rd NW Canton, OH   44708-1651",1-5,-81.4195132,40.8314852
,Ayersville Local,046706,Ayersville Elementary School,001412,"28046 Watson Rd Defiance, OH   43512-8851",K-4,-84.28457829999999,41.2373018
,Ayersville Local,046706,Ayersville High School,001420,"28046 Watson Rd Defiance, OH   43512-8851",9-12,-84.28457829999999,41.2373018
,Edgewood City,046094,Babeck Elementary School,001438,"100 Maple Ave Trenton, OH   45067-1849",1-5,-84.4577267,39.4734721
,Joseph Badger Local,050179,Badger High School,001446,"7119 State Route 7 Kinsman, OH   44428-9788",9-12,-80.5794299,41.4137132
,Paint Valley Local,049510,Paint Valley Middle School,001453,"7454 Us Highway 50 W Bainbridge, OH   45612-9708",6-8,-83.4225738,39.219507
,Mathews Local,050153,Baker Elementary School,001461,"4095 Sheridan Dr Vienna, OH   44473-9606",3-5,-80.67173,41.223431
,Akron City,043489,Barber Elementary School,001537,"366 Beaver St Akron, OH   44306-1271",K-5,-81.50104499999999,41.068627
,Barberton City,043539,Barberton High School,001545,"555 Barber Rd Barberton, OH   44203-1765",9-12,-81.60749009999999,41.0261589
,Sandusky City,044743,Barker,001552,"2130 Hayes Ave Sandusky, OH   44870-4740",K-12,-82.7126261,41.4345798
,Warren Local,050500,Barlow-Vincent Elementary School,001578,"70 Warrior Dr Vincent, OH   45784-5036",K-8,-81.6639048,39.3856634
,Barnesville Exempted Village,045203,Barnesville Elementary School,001594,"210 W Church St Barnesville, OH   43713-1069",K-4,-81.1786256,39.9887071
,Barnesville Exempted Village,045203,Barnesville High School,001602,"910 Shamrock Dr Barnesville, OH   43713-9115",9-12,-81.1571775,39.9868275
,Sheffield-Sheffield Lake City,044768,William Barr Elementary School,001628,"2180 Lake Breeze Rd Sheffield Village, OH   44054-2540",4,-82.11414889999999,41.4630607
,Upper Arlington City,044933,Barrington Road Elementary School,001644,"1780 Barrington Rd Upper Arlington, OH   43221-3839",K-5,-83.0556862,40.0003315
,Westlake City,045062,Bassett Elementary School,001677,"2155 Bassett Rd Westlake, OH   44145-2964",K-4,-81.94125500000001,41.456975
,Batavia Local,046300,Batavia Elementary School,001693,"215 Broadway St Batavia, OH   45103-2803",K-4,-84.17968789999999,39.0751099
,Batavia Local,046300,Batavia High School,001701,"1 Bull Dog Pl Batavia, OH   45103-3213",9-12,-84.12834149999999,39.0737508
,Revere Local,050054,Bath Elementary School,001735,"1246 N Cleveland Massillon Rd Akron, OH   44333-2126",4-5,-81.63852709999999,41.1699141
,Bath Local,045765,Bath Elementary School,001743,"2501 Slabtown Rd Lima, OH   45801-2200",K-4,-84.0521759,40.7752924
,Bath Local,045765,Bath High School,001750,"2850 Bible Rd Lima, OH   45801-2242",9-12,-84.0522585,40.77300959999999
,Bath Local,045765,Bath Middle School,001768,"2700 Bible Rd Lima, OH   45801-2244",5-8,-84.05498329999999,40.7735443
,Miamisburg City,044396,Bauer Elementary School,001776,"6951 Springboro Pike Dayton, OH   45449-3609",K-5,-84.2240812,39.651073
,Bay Village City,043547,Bay High School,001792,"29230 Wolf Rd Bay Village, OH   44140-1809",9-12,-81.94251679999999,41.48569579999999
,Bay Village City,043547,Bay Middle School,001800,"27725 Wolf Rd Bay Village, OH   44140-2026",5-8,-81.9263956,41.4842286
,Beachwood City,043554,Beachwood High School,001842,"25100 Fairmount Blvd Beachwood, OH   44122-2250","9-12,SN",-81.5011991,41.4832969
,Hilliard City,047019,Beacon Elementary School,001859,"3600 Lacon Rd Hilliard, OH   43026-1223",K-5,-83.133229,40.025958
,Switzerland of Ohio Local,048652,Beallsville Elementary School,001875,"PO Box 262 Beallsville, OH   43716-0262",K-6,-81.0367681,39.84840579999999
,Switzerland of Ohio Local,048652,Beallsville High School,001883,"PO Box 262 Beallsville, OH   43716-0262",7-12,-81.0367681,39.84840579999999
,Miamisburg City,044396,Bear Elementary School,001891,"545 School St Miamisburg, OH   45342-3049",K-5,-84.3023639,39.6342502
,Columbus City,043802,Beatty Park Elementary School,001917,"519 Trevitt St Columbus, OH   43203-1100",K-5,-82.9714937,39.9763356
,Columbus City,043802,Columbus Spanish Immersion Elementary School,001925,"2155 Fenton St Columbus, OH   43224-2314",K-8,-82.960171,40.053446
,Beaver Local,046425,Beaver Local Middle School,001933,"13052 State Route 7 Lisbon, OH   44432-9559",5-8,-80.6342186,40.7120795
,Beaver Local,046425,Beaver Local High School,001958,"13187 State Route 7 Lisbon, OH   44432-9524",9-12,-80.6371357,40.7099571
,Beavercreek City,047241,Beavercreek High School,001966,"2660 Dayton Xenia Rd Beavercreek, OH   45434-6416",9-12,-84.0332641,39.722203
,Kettering City,044180,Beavertown Elementary School,001982,"2700 Wilmington Pike Kettering, OH   45419-2141",K-5,-84.14169249999999,39.7073315
,North College Hill City,044511,Becker Elementary School,002006,"6525 Simpson Ave Cincinnati, OH   45239-4759","H,P,K,1-6",-84.562332,39.213658
,Bedford City,043562,Bedford High School,002022,"481 Northfield Rd Bedford, OH   44146-2201",9-12,-81.5248446,41.4029933
,Whitehall City,045070,Beechwood Elementary School,002048,"455 Beechwood Rd Whitehall, OH   43213-2313",K-5,-82.894712,39.965955
,Columbus City,043802,Beery Middle School,002071,"2740 Lockbourne Rd Columbus, OH   43207-2628",6-8,-82.964772,39.9101221
,Canton City,043711,Belden Elementary School,002097,"2115 Georgetown Rd NE Canton, OH   44704-2257",K-6,-81.348275,40.7972179
,Bellaire City,043570,Bellaire High School,002139,"349 35th St Bellaire, OH   43906-1278",9-12,-80.7421419,40.0175061
,Sugarcreek Local School District,047274,Bellbrook Middle School,002147,"3600 Feedwire Rd Bellbrook, OH   45305-9704",6-8,-84.07208779999999,39.6610672
,Sugarcreek Local School District,047274,Bellbrook High School,002154,"3737 Upper Bellbrook Rd Bellbrook, OH   45305-8750","9-12,UNG",-84.0674672,39.6527959
,Washington Court House City,045013,Belle Aire Elementary School,002162,"1120 High St Washington Court Hou, OH   43160-2465",1-5,-83.4357568,39.5233745
,Benjamin Logan Local,048074,Benjamin Logan Elementary School,002170,"4560 County Road 26 Bellefontaine, OH   43311-9532",K-4,-83.65770049999999,40.4101108
,Dayton City,043844,Belle Haven PreK-8 School,002196,"4401 Free Pike Dayton, OH   45416-1219","P,K-8",-84.26269889999999,39.7991807
,Cleveland Heights-University Heights City,043794,Bellefaire,002212,"22001 Fairmount Blvd University Hts, OH   44118-4819",K-12,-81.52468189999999,41.4882211
,Bellefontaine City,043588,Bellefontaine High School,002220,"555 E Lake Ave Bellefontaine, OH   43311-2509",9-12,-83.7539425,40.3482866
,Bellevue City,043596,Bellevue High School,002246,"200 Oakland Ave Bellevue, OH   44811-1033","9-12,SN",-82.8433632,41.2816479
,Bellevue City,043596,Bellevue Junior High School,002253,"215 North St Bellevue, OH   44811-1431","7-8,SN",-82.8376329,41.27472969999999
